id,prod_id,model,total
0,0,ASICS,1
1,0,Gel-Kayano,1
2,0,14,4
3,1,adidas,126
4,1,Yeezy,92
5,1,Slide,16
6,2,Nike,373
7,2,Dunk,178
8,2,Low,278
9,2,Retro,224
10,3,Jordan,383
11,3,3,19
12,3,Retro,224
13,4,Jordan,383
14,4,1,310
15,4,Low,278
16,5,Jordan,383
17,5,1,310
18,5,Mid,113
19,5,SE,41
20,6,Nike,373
21,6,SB,23
22,6,Dunk,178
23,6,High,115
24,6,Pro,9
25,7,NikeCraft,1
26,7,General,1
27,7,Purpose,1
28,7,Shoe,1
29,8,Jordan,383
30,8,1,310
31,8,Low,278
32,9,Nike,373
33,9,Dunk,178
34,9,High,115
35,10,adidas,126
36,10,Yeezy,92
37,10,Slide,16
38,11,Nike,373
39,11,Air,140
40,11,VaporMax,11
41,11,2021,5
42,11,FK,4
43,12,Jordan,383
44,12,4,31
45,12,Retro,224
46,13,Nike,373
47,13,Dunk,178
48,13,Low,278
49,13,EMB,3
50,14,adidas,126
51,14,Yeezy,92
52,14,Boost,48
53,14,350,32
54,14,V2,32
55,15,New,57
56,15,Balance,57
57,15,530,4
58,16,Jordan,383
59,16,11,17
60,16,Retro,224
61,17,adidas,126
62,17,Ultra,8
63,17,Boost,48
64,17,4.0,4
65,17,DNA,6
66,18,Jordan,383
67,18,4,31
68,18,Retro,224
69,19,Jordan,383
70,19,1,310
71,19,Mid,113
72,20,Nike,373
73,20,Hot,2
74,20,Step,2
75,20,Air,140
76,20,Terra,2
77,21,Jordan,383
78,21,1,310
79,21,Retro,224
80,21,High,115
81,21,OG,39
82,22,Nike,373
83,22,SB,23
84,22,Dunk,178
85,22,Low,278
86,23,Jordan,383
87,23,1,310
88,23,Mid,113
89,23,Split,2
90,24,Nike,373
91,24,Air,140
92,24,Max,55
93,24,Penny,4
94,24,1,310
95,25,Jordan,383
96,25,1,310
97,25,Retro,224
98,25,High,115
99,25,OG,39
100,26,Jordan,383
101,26,1,310
102,26,High,115
103,26,OG,39
104,27,Jordan,383
105,27,1,310
106,27,Mid,113
107,28,Nike,373
108,28,Dunk,178
109,28,Low,278
110,29,Jordan,383
111,29,1,310
112,29,Retro,224
113,29,High,115
114,29,OG,39
115,30,Jordan,383
116,30,1,310
117,30,Retro,224
118,30,High,115
119,30,OG,39
120,31,New,57
121,31,Balance,57
122,31,550,26
123,32,Jordan,383
124,32,1,310
125,32,Retro,224
126,32,Low,278
127,32,OG,39
128,33,Jordan,383
129,33,1,310
130,33,Low,278
131,34,Nike,373
132,34,Dunk,178
133,34,Low,278
134,35,Jordan,383
135,35,11,17
136,35,Retro,224
137,35,Low,278
138,36,Jordan,383
139,36,1,310
140,36,Mid,113
141,37,adidas,126
142,37,Yeezy,92
143,37,Boost,48
144,37,350,32
145,37,V2,32
146,38,Jordan,383
147,38,4,31
148,38,Retro,224
149,39,Nike,373
150,39,Dunk,178
151,39,Low,278
152,39,Essential,5
153,40,Jordan,383
154,40,11,17
155,40,Retro,224
156,41,Jordan,383
157,41,3,19
158,41,Retro,224
159,42,New,57
160,42,Balance,57
161,42,550,26
162,43,Nike,373
163,43,Air,140
164,43,Humara,2
165,43,LX,6
166,44,Jordan,383
167,44,13,10
168,44,Retro,224
169,45,Jordan,383
170,45,1,310
171,45,Mid,113
172,46,Jordan,383
173,46,4,31
174,46,Retro,224
175,47,Jordan,383
176,47,1,310
177,47,Low,278
178,48,Jordan,383
179,48,5,22
180,48,Retro,224
181,49,Jordan,383
182,49,1,310
183,49,Retro,224
184,49,High,115
185,50,Nike,373
186,50,Dunk,178
187,50,Low,278
188,51,adidas,126
189,51,Yeezy,92
190,51,500,6
191,52,Jordan,383
192,52,1,310
193,52,Retro,224
194,52,High,115
195,52,OG,39
196,53,Nike,373
197,53,Air,140
198,53,VaporMax,11
199,53,Plus,8
200,54,Nike,373
201,54,Air,140
202,54,Max,55
203,54,90,9
204,54,Terrascape,6
205,55,Nike,373
206,55,Dunk,178
207,55,Low,278
208,55,Retro,224
209,56,adidas,126
210,56,Yeezy,92
211,56,Foam,13
212,56,RNR,6
213,57,Jordan,383
214,57,1,310
215,57,Low,278
216,57,SE,41
217,58,adidas,126
218,58,Adilette,5
219,58,22,5
220,58,Slides,5
221,59,Nike,373
222,59,Air,140
223,59,Presto,2
224,60,Nike,373
225,60,Dunk,178
226,60,High,115
227,61,Jordan,383
228,61,4,31
229,61,Retro,224
230,62,Nike,373
231,62,Air,140
232,62,Trainer,5
233,62,1,310
234,62,SP,22
235,63,adidas,126
236,63,Yeezy,92
237,63,Foam,13
238,63,RNNR,8
239,64,Jordan,383
240,64,1,310
241,64,Retro,224
242,64,High,115
243,65,Jordan,383
244,65,11,17
245,65,Retro,224
246,66,Nike,373
247,66,Dunk,178
248,66,Low,278
249,67,Jordan,383
250,67,1,310
251,67,Retro,224
252,67,Low,278
253,67,Golf,10
254,68,Nike,373
255,68,Killshot,2
256,68,2,18
257,69,Nike,373
258,69,SB,23
259,69,Dunk,178
260,69,Low,278
261,70,Jordan,383
262,70,4,31
263,70,Retro,224
264,71,Nike,373
265,71,Air,140
266,71,Force,43
267,71,1,310
268,71,Mid,113
269,72,Jordan,383
270,72,1,310
271,72,Retro,224
272,72,High,115
273,72,OG,39
274,73,Jordan,383
275,73,1,310
276,73,Low,278
277,74,Nike,373
278,74,SB,23
279,74,Dunk,178
280,74,Low,278
281,74,Pro,9
282,75,Jordan,383
283,75,1,310
284,75,Mid,113
285,75,SE,41
286,76,Puma,9
287,76,MB.01,9
288,76,LaMelo,9
289,76,Ball,9
290,77,Nike,373
291,77,Air,140
292,77,Force,43
293,77,1,310
294,77,Low,278
295,77,'07,17
296,78,Jordan,383
297,78,3,19
298,78,Retro,224
299,79,Jordan,383
300,79,1,310
301,79,Low,278
302,79,SE,41
303,80,Nike,373
304,80,Air,140
305,80,Max,55
306,80,97,7
307,81,Jordan,383
308,81,1,310
309,81,Retro,224
310,81,High,115
311,82,adidas,126
312,82,Yeezy,92
313,82,Boost,48
314,82,350,32
315,82,V2,32
316,83,Converse,9
317,83,Chuck,6
318,83,Taylor,6
319,83,All-Star,6
320,83,70,5
321,83,Hi,7
322,84,Nike,373
323,84,Dunk,178
324,84,Low,278
325,85,Nike,373
326,85,Air,140
327,85,Trainer,5
328,85,1,310
329,85,Utility,2
330,85,SP,22
331,86,Jordan,383
332,86,1,310
333,86,Retro,224
334,86,High,115
335,86,OG,39
336,87,Jordan,383
337,87,1,310
338,87,Retro,224
339,87,High,115
340,87,OG,39
341,88,Jordan,383
342,88,12,10
343,88,Retro,224
344,88,Low,278
345,88,Golf,10
346,89,Jordan,383
347,89,1,310
348,89,High,115
349,89,Zoom,11
350,89,Air,140
351,89,CMFT,7
352,90,Nike,373
353,90,Cortez,6
354,90,SP,22
355,91,Jordan,383
356,91,1,310
357,91,Mid,113
358,91,SE,41
359,92,Jordan,383
360,92,7,7
361,92,Retro,224
362,93,Jordan,383
363,93,1,310
364,93,Retro,224
365,93,High,115
366,93,OG,39
367,94,Nike,373
368,94,Blazer,21
369,94,Mid,113
370,94,77,12
371,94,Vintage,5
372,95,New,57
373,95,Balance,57
374,95,2002R,13
375,96,Nike,373
376,96,Dunk,178
377,96,Low,278
378,96,Retro,224
379,96,QS,2
380,97,adidas,126
381,97,Yeezy,92
382,97,Boost,48
383,97,350,32
384,97,V2,32
385,98,adidas,126
386,98,Yeezy,92
387,98,Boost,48
388,98,700,14
389,98,MNVN,3
390,99,Jordan,383
391,99,11,17
392,99,Retro,224
393,100,Jordan,383
394,100,1,310
395,100,Retro,224
396,100,High,115
397,101,adidas,126
398,101,Yeezy,92
399,101,Slide,16
400,102,Jordan,383
401,102,1,310
402,102,Low,278
403,103,Nike,373
404,103,Air,140
405,103,Max,55
406,103,95,4
407,104,Nike,373
408,104,Air,140
409,104,Force,43
410,104,1,310
411,104,Low,278
412,104,'07,17
413,104,LV8,3
414,105,adidas,126
415,105,NMD,3
416,105,S1,1
417,106,Nike,373
418,106,Dunk,178
419,106,Low,278
420,106,SE,41
421,107,Jordan,383
422,107,1,310
423,107,Low,278
424,108,Nike,373
425,108,Air,140
426,108,Max,55
427,108,1,310
428,109,Jordan,383
429,109,1,310
430,109,Low,278
431,110,Jordan,383
432,110,4,31
433,110,Retro,224
434,111,adidas,126
435,111,Yeezy,92
436,111,Foam,13
437,111,RNNR,8
438,112,Jordan,383
439,112,1,310
440,112,Retro,224
441,112,High,115
442,113,Nike,373
443,113,Air,140
444,113,Zoom,11
445,113,Pegasus,1
446,113,37,1
447,114,Nike,373
448,114,Dunk,178
449,114,Low,278
450,115,Nike,373
451,115,Air,140
452,115,Force,43
453,115,1,310
454,115,'07,17
455,115,Low,278
456,116,Nike,373
457,116,Dunk,178
458,116,Low,278
459,117,Jordan,383
460,117,1,310
461,117,Low,278
462,118,Jordan,383
463,118,1,310
464,118,Retro,224
465,118,High,115
466,119,Nike,373
467,119,KD,3
468,119,14,4
469,120,Jordan,383
470,120,1,310
471,120,Low,278
472,120,OG,39
473,121,Nike,373
474,121,Air,140
475,121,Max,55
476,121,1,310
477,121,SP,22
478,122,adidas,126
479,122,Yeezy,92
480,122,Slide,16
481,123,adidas,126
482,123,Yeezy,92
483,123,Boost,48
484,123,350,32
485,124,Nike,373
486,124,Dunk,178
